epoch,train_loss,valid_loss
0,0.5248556167636086,0.35215578410560633
1,0.34078011608603015,0.32614897151007755
2,0.3097773441717253,0.29635653340924545
3,0.28072977353580036,0.2695894916612216
4,0.2653193486395793,0.2563546263919496
5,0.25376550546243565,0.24740530572989197
6,0.24548240300998017,0.2487326651541488
7,0.23889326599974128,0.23618103622309752
8,0.23208226103279458,0.23067134816841056
9,0.22761216265472337,0.22049531871818703
10,0.2218327189809713,0.21692208094899387
11,0.21774095895901396,0.21513227141515726
12,0.2146978690995643,0.20856876693823548
13,0.21153699249478441,0.2075082758762325
14,0.20652945940218978,0.2076049245376241
15,0.2044492041046296,0.2014360780802378
16,0.20239173090038587,0.19771184283801077
17,0.19953106024756503,0.19899135035690585
18,0.1972576143154547,0.1971341051003724
19,0.19491883881727057,0.20192417259302745
20,0.1939792836131762,0.1931473764047882
21,0.19189244544685785,0.19302336434943437
22,0.18957597340770702,0.1900448511014172
23,0.18760063905811789,0.18671885393897572
24,0.18621608138683454,0.1997672418453182
25,0.18465994105267167,0.19137428516347602
26,0.18301616919100583,0.18572596390801974
27,0.18109093461204415,0.18388693390295946
28,0.1802472916080724,0.1894998219078041
29,0.1786331722484761,0.17719365048624597
30,0.17703642312006734,0.18006830975368304
31,0.17689360356211065,0.18324084134260332
32,0.1751892185690415,0.1771985193393742
33,0.1737044400905245,0.17378391744146895
34,0.17299919919152953,0.17450823704641752
35,0.17155787693196206,0.17282751445683828
36,0.1709983626801764,0.17265311792898033
37,0.16975055711353246,0.17796847269254149
38,0.16864888170855727,0.1760666033652614
39,0.16801763539338233,0.1689978409389715
40,0.16688052158259867,0.17221748396709247
41,0.16574149167717403,0.16949181902444616
42,0.1646533260992424,0.16734500972165803
43,0.16431428817049343,0.16523347574418404
44,0.16309356407903547,0.16980709140034242
45,0.16294683122155654,0.1652663449146236
46,0.16196660048997583,0.1696935153799835
47,0.16101932345922268,0.16613121677381396
48,0.16048226709940924,0.17527141401774934
49,0.1566305826057741,0.1636279902429379
50,0.15558293530689413,0.16188423042931224
