epoch,train_loss,valid_loss
0,0.536288707,0.321178252
1,0.30361353,0.273854196
2,0.271533618,0.257719977
3,0.250972501,0.243230137
4,0.237831875,0.227528932
5,0.226143703,0.229268021
6,0.219579662,0.211899467
7,0.212955294,0.204415098
8,0.206450327,0.200970886
9,0.201706963,0.194944822
10,0.196178618,0.202528522
11,0.193993238,0.19021056
12,0.190207499,0.189163035
13,0.187101477,0.185154293
14,0.187119007,0.193046756
15,0.182573715,0.178807481
16,0.17997808,0.176574021
17,0.177720799,0.186165921
18,0.177447148,0.176486488
19,0.173954456,0.176517687
20,0.172871918,0.172460928
21,0.171826789,0.17953838
22,0.170532482,0.170146661
23,0.169192363,0.168549181
24,0.167344158,0.174980963
25,0.166393541,0.170801161
26,0.164718582,0.165526093
27,0.164551525,0.166035546
28,0.162637414,0.163339587
29,0.162379673,0.163702532
30,0.161356291,0.165796036
31,0.159345322,0.164874803
32,0.159593061,0.160945521
33,0.157948936,0.164401929
34,0.156925634,0.159063818
35,0.156347579,0.16089296
36,0.155771595,0.161998752
37,0.155076053,0.161442237
38,0.153912857,0.159332778
39,0.152527784,0.154643955
40,0.151938294,0.160336214
41,0.151793218,0.161344011
42,0.15073422,0.157782884
43,0.150561556,0.157861419
44,0.149379752,0.155706034
45,0.146131122,0.152727897
46,0.145568062,0.152323041
47,0.144946049,0.152194781
48,0.144842812,0.151501761
49,0.144199343,0.150930193
50,0.14371217,0.150404978
51,0.143790787,0.152386304
52,0.143020472,0.153274123
53,0.143217805,0.149987796
54,0.142506237,0.15005952
55,0.142109492,0.150674841
56,0.142189733,0.150323563
57,0.141723786,0.149909492
58,0.140891396,0.149851144
59,0.140473087,0.153495964
60,0.140104544,0.147583478
61,0.140254447,0.148516613
62,0.139612836,0.148334751
63,0.139752507,0.147579677
64,0.138491143,0.146458494
65,0.138921564,0.150086516
66,0.138904293,0.14744011
67,0.138384589,0.147420348
68,0.138180482,0.147190398
69,0.137930404,0.147827683
70,0.137611443,0.147909966
71,0.137228789,0.147837356
72,0.136824055,0.146736783
73,0.136439775,0.148717129
74,0.135757184,0.146751393
75,0.136446,0.14472282
76,0.136284516,0.145249935
77,0.135476947,0.146380649
78,0.135298431,0.145472093
79,0.135019513,0.145486089
80,0.13459164,0.143987226
81,0.1347412,0.144487301
82,0.134550993,0.144606376
83,0.134318675,0.144923344
84,0.134179469,0.145069636
85,0.13321946,0.144945509
86,0.132160003,0.144097158
87,0.131695831,0.143009682
88,0.131567871,0.143629473
89,0.131271623,0.143475793
90,0.131152829,0.144065187
91,0.131283664,0.144063776
92,0.130800333,0.143336697
93,0.130277885,0.142495522
94,0.12977732,0.142599633
95,0.13004565,0.142671586
96,0.129583841,0.143757648
97,0.129816632,0.142696542
98,0.130047602,0.142662814
99,0.12979358,0.142887539
100,0.129249087,0.142555522
